timestep kinetic_energy potential_energy total_energy
1080 248.85476352090825 -472.79004059707023 -223.93527707616198
1090 254.183996322492 -478.04595939155735 -223.86196306906535
1100 244.69545676831368 -469.1022583514843 -224.40680158317062
1110 261.6790107249787 -485.5825262088549 -223.90351548387622
1120 242.8176483219733 -466.1438541451794 -223.32620582320607
1130 259.0469057678397 -482.85246279466645 -223.80555702682676
1140 227.657671925234 -451.0774463656621 -223.4197744404281
1150 242.15369345345127 -465.8589441880214 -223.70525073457011
1160 267.3276537230807 -490.94018299749075 -223.61252927441006
1170 251.70569950577132 -475.1110047523653 -223.405305246594
1180 231.44763496679013 -455.295739338735 -223.84810437194488
1190 240.27285501315552 -463.69563714432167 -223.42278213116614
1200 248.60035060152808 -472.49712965185716 -223.8967790503291
1210 256.7745638623509 -479.78591606043864 -223.01135219808776
1220 235.2351850986463 -458.57438837324094 -223.33920327459464
1230 245.856660537716 -469.349573379425 -223.492912841709
1240 233.88717578991924 -457.102497848896 -223.21532205897677
1250 245.67034754121963 -470.71976949916973 -225.0494219579501
1260 257.2127003511958 -479.9612309966317 -222.7485306454359
1270 254.08675338242693 -476.986932554713 -222.90017917228607
1280 248.28618725289036 -471.9589372064603 -223.67274995356993
1290 256.8815823064268 -479.90305589600536 -223.02147358957853
1300 249.7229218581723 -472.2424609280955 -222.5195390699232
1310 221.11802249411105 -444.8880920499201 -223.77006955580904
1320 219.93411646782056 -444.33672214687294 -224.40260567905239
1330 254.98818905172593 -478.47203074936806 -223.48384169764213
1340 233.76516364667077 -456.62873753787176 -222.86357389120099
1350 246.36059333527086 -470.0638149814503 -223.70322164617946
1360 266.2863580193968 -489.59710269325916 -223.31074467386236
1370 230.50323414394265 -453.89019282780345 -223.3869586838608
1380 236.4110321623357 -460.6023023523721 -224.1912701900364
1390 243.31570756558637 -466.40328750954063 -223.08757994395427
1400 249.7313257351513 -471.8686691335234 -222.13734339837208
1410 248.47475138561836 -471.5058049800704 -223.03105359445206
1420 238.36229630668893 -462.34671733221217 -223.98442102552323
1430 253.91504461671397 -476.68199165763485 -222.76694704092088
1440 254.44916775751358 -476.45814299452826 -222.00897523701468
1450 251.91284277463447 -473.91998538179155 -222.00714260715708
1460 233.97107619210334 -457.04933095464537 -223.07825476254203
1470 237.7890246480955 -461.07374305233947 -223.28471840424396
1480 253.47293642064258 -476.59206796243825 -223.11913154179567
1490 248.0853003683033 -472.3732077131932 -224.2879073448899
1500 265.1730295824177 -488.85807637346323 -223.68504679104552
1510 259.50808051701256 -483.59299487370606 -224.0849143566935
1520 253.9155370735714 -477.3932014401746 -223.47766436660322
1530 244.87244139653603 -468.3358925348102 -223.4634511382742
1540 254.7811654039355 -478.1996446193589 -223.4184792154234
1550 275.05206898076665 -498.5985372359897 -223.54646825522303
1560 241.86304786421437 -465.32474143961633 -223.46169357540197
